sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,is_recid,jailtime
Female,25,Caucasian,0,0,0,2,F,0,3
Male,27,Caucasian,0,0,0,0,F,0,1
Male,30,Caucasian,0,0,0,1,M,0,4
Female,37,Other,0,0,0,2,M,0,2
Male,21,Caucasian,0,0,0,1,F,0,1
Male,28,Caucasian,0,0,0,0,M,1,1
Female,24,African-American,0,0,0,0,M,0,2
Male,37,African-American,0,0,0,13,F,0,29
Male,22,African-American,0,0,0,0,F,0,8
Female,29,Caucasian,0,1,0,10,F,1,7
Female,25,Caucasian,0,0,0,0,F,0,1
Male,44,Caucasian,0,0,0,2,M,1,0
Female,30,Hispanic,0,0,0,4,F,1,0
Male,32,African-American,0,0,0,3,F,1,8
Male,53,Hispanic,0,0,0,1,F,0,1
Male,34,Other,0,0,0,1,M,0,2
Male,31,Caucasian,0,0,0,2,M,1,15
Male,27,African-American,0,0,0,5,F,0,7
Male,31,African-American,0,0,0,1,M,1,1
Male,59,Caucasian,0,0,0,1,F,1,1
Male,28,African-American,0,0,0,15,F,0,41
Male,23,Caucasian,0,0,0,0,M,0,1
Female,20,African-American,1,0,0,1,F,0,3
Male,42,African-American,0,0,0,2,F,0,11
Female,43,Caucasian,0,0,0,0,M,0,1
Male,38,African-American,1,1,0,9,F,1,13
Male,32,African-American,0,0,0,11,F,1,1
Male,33,African-American,0,0,0,8,M,1,1
Male,55,African-American,0,0,0,4,M,0,16
Female,31,African-American,0,0,0,0,F,1,2
Female,33,African-American,0,0,0,7,F,1,26
Male,27,African-American,0,0,0,2,F,1,1
Male,52,African-American,0,0,0,0,M,0,1
Female,20,African-American,0,0,0,0,F,0,0
Female,26,Caucasian,0,0,0,0,M,0,1
Male,25,African-American,0,0,0,4,M,0,262
Female,61,African-American,0,0,0,1,F,1,1
Male,52,Other,0,0,0,13,F,1,2
Male,63,Hispanic,0,0,0,1,F,0,15
Female,32,African-American,0,0,0,4,F,1,7
Male,29,Hispanic,0,0,0,1,F,0,1
Female,26,African-American,0,0,0,2,M,1,1
Male,55,African-American,0,0,0,3,M,0,1
Male,39,Caucasian,1,0,0,1,O,0,4
Female,30,Caucasian,0,0,0,3,F,1,530
Male,30,African-American,0,0,0,1,F,0,70
Male,48,Caucasian,0,0,0,2,M,0,1
Male,33,Caucasian,0,0,0,0,M,0,2
Male,22,African-American,0,0,0,1,F,0,1
Male,46,Caucasian,0,0,0,6,F,1,23
Male,41,Caucasian,0,0,0,5,F,0,96
Female,49,Caucasian,0,0,0,6,F,0,5
Male,31,Caucasian,0,0,0,0,F,0,2
Male,31,African-American,0,0,0,0,M,0,1
Male,25,African-American,0,0,0,1,M,1,2
Male,31,African-American,0,0,0,3,F,0,19
Female,21,African-American,0,0,0,0,M,0,4
Male,23,Hispanic,0,0,0,0,F,0,0
Female,32,African-American,0,0,0,5,F,0,1
Male,52,Hispanic,0,0,0,2,M,0,3
Male,62,African-American,0,0,0,8,F,0,16
Male,30,African-American,0,0,0,2,M,0,1
Female,37,Caucasian,0,0,0,6,F,0,106
Male,55,Caucasian,0,0,0,1,F,0,18
Male,31,Hispanic,0,0,0,8,F,1,117
Male,28,African-American,0,0,0,6,M,1,1
Male,54,Hispanic,0,0,0,2,F,0,188
Male,58,Hispanic,0,0,0,0,F,0,1
Male,78,Caucasian,0,0,0,1,M,1,1
Male,56,Caucasian,0,0,0,0,F,0,1
Male,21,Hispanic,0,0,0,1,M,0,11
Male,24,Other,0,0,0,0,F,0,2
Male,38,African-American,2,2,1,22,F,1,34
Male,39,African-American,0,0,0,3,M,0,5
Male,35,Caucasian,0,0,0,0,F,0,1
Male,22,African-American,0,0,0,1,F,1,0
Male,47,African-American,0,0,0,23,M,1,1
Male,23,African-American,0,0,0,0,M,1,1
Male,57,Hispanic,0,0,0,1,F,0,20
Female,38,Caucasian,0,0,0,2,F,1,1
Male,66,African-American,0,0,0,3,F,1,2
Male,45,Caucasian,0,0,0,8,M,1,71
Female,28,Caucasian,0,0,0,0,M,0,1
Male,45,Other,0,0,0,2,F,0,1
Male,32,African-American,0,0,0,13,F,1,97
Male,37,African-American,0,0,0,2,M,1,0
Male,39,Caucasian,0,0,0,0,F,1,1
Male,26,African-American,0,0,0,9,F,1,79
Male,25,African-American,0,0,0,3,F,0,1
Male,45,Caucasian,0,0,0,2,F,0,359
Female,57,Caucasian,0,0,0,7,F,0,1
Male,23,African-American,0,0,0,0,F,1,1
Male,34,African-American,0,0,0,2,M,1,26
Male,38,African-American,0,0,0,14,F,0,117
Female,23,African-American,0,0,0,1,M,0,1
Male,36,Other,0,0,0,2,M,1,3
Male,50,Caucasian,0,0,0,1,F,0,2
Female,37,Caucasian,0,0,0,0,M,0,0
Male,44,Caucasian,0,0,0,4,M,0,1
Female,35,African-American,0,1,0,23,F,1,2
Male,31,Caucasian,0,0,0,1,F,0,36
Male,24,Other,0,0,0,5,F,1,1
Male,40,Asian,0,0,0,3,F,0,107
Male,26,African-American,0,0,0,2,F,1,1
Male,37,Other,0,0,0,1,F,0,2
Male,27,African-American,0,0,0,0,M,0,3
Female,31,Caucasian,0,0,0,1,M,0,1
Female,28,African-American,0,0,0,0,F,0,29
Male,43,Caucasian,0,0,0,11,F,1,121
Female,28,Caucasian,0,0,0,7,F,1,1
Male,38,African-American,0,0,0,0,F,0,0
Male,38,African-American,0,0,0,2,F,0,1
Male,27,Caucasian,0,0,0,2,M,0,36
Female,28,African-American,0,0,0,1,F,0,39
Male,21,African-American,1,0,0,1,F,0,3
Male,56,Caucasian,0,0,0,7,F,1,1
Male,38,African-American,0,0,0,15,F,0,2
Male,28,African-American,0,0,0,2,M,0,1
Male,45,African-American,0,0,0,3,F,0,219
Female,24,Other,0,0,0,1,F,0,1
Male,61,Caucasian,0,0,0,1,F,0,1
Female,51,Caucasian,0,0,0,0,M,1,1
Male,51,Caucasian,0,0,0,0,M,0,1
Male,20,Caucasian,0,0,1,0,F,0,0
Male,36,Other,0,0,0,1,M,1,1
Male,48,African-American,0,0,0,0,F,0,1
Male,37,Caucasian,0,0,0,4,F,1,2
Female,30,African-American,0,0,0,2,F,0,3
Female,41,African-American,0,0,0,5,M,0,0
Male,27,African-American,0,0,0,11,F,1,223
Male,37,African-American,0,0,0,0,M,1,2
Male,33,Other,0,0,0,4,F,1,2
Male,54,African-American,0,0,0,11,F,0,130
Male,23,African-American,0,0,0,2,F,0,72
Male,22,African-American,0,0,0,0,F,0,2
Female,26,African-American,0,0,0,2,F,1,227
Female,23,African-American,0,2,0,3,F,0,1
Male,41,African-American,0,0,0,0,M,0,1
Male,52,Caucasian,0,0,0,0,F,0,1
Male,43,Caucasian,0,0,0,13,F,1,51
Male,52,African-American,0,0,0,0,F,0,14
Male,28,Caucasian,0,0,0,1,F,0,3
Male,30,African-American,0,0,2,11,M,1,1
Male,28,Caucasian,0,0,0,1,F,0,6
Male,47,Caucasian,0,0,0,1,F,0,38
Female,34,African-American,0,0,0,0,M,0,1
Male,22,African-American,0,0,0,0,F,0,1
Male,30,African-American,0,0,0,4,F,0,0
Male,25,Hispanic,0,0,0,4,F,0,1
Male,31,Caucasian,0,0,0,0,F,1,31
Male,37,Caucasian,0,0,0,0,F,1,35
Male,32,African-American,0,1,0,14,F,0,1
Male,26,African-American,0,1,0,4,M,0,76
Male,53,Caucasian,0,0,0,1,M,0,1
Male,28,African-American,0,0,0,25,F,1,26
Male,44,Caucasian,0,0,0,8,M,1,5
Male,25,African-American,0,0,0,0,F,0,0
Female,30,Other,0,0,0,0,M,0,1
Male,22,Caucasian,0,0,1,1,M,1,6
Female,30,African-American,1,0,0,2,F,0,111
Female,20,African-American,0,0,0,0,F,0,1
Female,37,Other,0,0,0,0,M,0,1
Female,33,Caucasian,0,0,0,0,F,0,1
Female,47,Caucasian,0,0,0,2,F,0,3
Female,40,Other,0,0,0,3,F,0,1
Male,24,Other,0,0,0,0,M,0,1
Male,36,Caucasian,0,0,0,8,F,1,22
Male,30,Caucasian,0,0,0,4,F,0,62
Male,22,African-American,0,0,0,3,M,1,1
Female,24,Caucasian,0,0,0,1,M,1,29
Male,27,African-American,0,0,0,3,M,1,7
Female,31,Hispanic,0,0,0,0,M,0,1
Male,47,African-American,0,0,0,0,M,0,1
Male,23,Hispanic,0,0,1,1,F,1,1
Female,23,Caucasian,0,0,4,5,F,1,1
Male,24,Hispanic,0,0,0,0,M,0,1
Male,29,African-American,0,0,0,1,M,0,1
Male,20,African-American,0,0,0,1,F,1,1
Male,30,African-American,0,0,0,2,F,1,2
Male,39,Caucasian,0,0,0,1,M,0,1
Male,38,African-American,0,0,0,1,M,0,1
Male,39,Other,0,0,0,0,F,0,1
Male,27,African-American,0,0,0,4,F,0,1
Male,18,African-American,2,0,0,2,F,0,1
Male,31,Caucasian,0,0,0,2,M,1,11
Female,37,African-American,0,0,0,2,F,0,1
Male,31,Caucasian,0,0,0,0,F,0,1
Male,27,African-American,0,0,0,2,F,0,1
Male,20,African-American,0,0,0,0,F,0,3
Male,46,African-American,1,0,0,5,M,0,323
Male,22,Hispanic,0,0,1,0,F,0,2
Female,52,African-American,0,0,0,0,F,0,1
Female,23,African-American,0,0,0,0,F,1,4
Male,20,African-American,1,0,0,1,F,0,23
Female,48,African-American,0,0,0,0,F,0,2
Male,25,Caucasian,0,0,0,0,F,0,0
Male,27,Caucasian,0,0,0,0,F,1,2
Male,30,African-American,0,0,0,11,F,1,1
Male,22,African-American,0,1,1,3,M,1,1
Female,22,Caucasian,0,0,0,1,F,0,1
Male,32,Caucasian,0,0,0,2,F,0,40
Female,41,African-American,0,0,0,2,M,0,1
Male,35,Caucasian,0,0,0,9,F,0,43
Male,43,African-American,0,0,0,0,F,0,5
Female,25,Other,0,0,0,0,F,0,1
Male,44,African-American,0,0,0,24,M,0,118
Male,52,African-American,0,0,0,3,F,1,25
Male,43,African-American,0,0,0,0,F,0,41
Male,37,African-American,0,0,0,0,M,0,1
Male,47,Other,0,0,0,1,M,0,3
Female,45,Caucasian,0,0,0,3,F,0,7
Male,23,African-American,0,0,0,2,F,0,2
Male,37,Caucasian,0,0,0,3,F,0,3
Male,28,African-American,0,0,0,3,M,1,3
Male,70,Caucasian,0,0,0,1,M,0,13
Male,54,Caucasian,0,0,0,6,F,1,1
Male,58,Caucasian,0,0,0,9,M,0,2
Male,46,Caucasian,0,0,0,3,F,0,14
Male,21,African-American,0,0,0,0,M,1,1
Male,26,African-American,0,0,0,1,M,1,2
Male,38,Hispanic,0,0,0,3,F,1,2
Male,34,Caucasian,0,0,0,5,M,0,1
Female,34,Caucasian,0,0,0,0,F,0,3
Male,19,African-American,0,0,0,1,F,1,48
Male,34,African-American,0,0,0,5,M,0,1
Female,32,African-American,0,0,0,3,M,0,4
Male,23,Caucasian,0,0,0,0,F,1,1
Male,34,African-American,0,0,0,5,F,1,3
Male,30,African-American,0,0,0,2,F,0,83
Male,39,African-American,0,0,0,6,F,1,3
Male,24,Other,0,0,0,0,F,0,1
Male,33,Caucasian,0,0,0,1,M,1,0
Male,33,Caucasian,0,0,0,0,F,0,1
Male,40,Caucasian,0,0,0,6,M,0,9
Male,58,Caucasian,0,0,0,2,F,0,2
Female,21,African-American,0,0,0,0,M,0,1
Male,44,Asian,0,0,0,2,F,0,359
Male,56,African-American,0,0,0,13,F,0,477
Male,27,Caucasian,0,0,0,1,F,0,8
Male,21,African-American,0,0,0,1,F,1,36
Male,23,African-American,0,0,1,4,M,1,11
Male,62,Caucasian,0,0,0,0,F,0,2
Male,27,African-American,1,0,1,4,M,1,1
Male,57,Other,0,0,0,6,M,0,3
Male,37,Caucasian,0,0,0,5,F,0,11
Male,43,Other,0,0,0,2,F,1,8
Female,32,African-American,0,0,0,5,F,0,0
Female,33,African-American,0,0,0,2,F,0,2
Male,23,Hispanic,0,0,0,0,F,0,46
Male,27,African-American,0,0,0,0,M,0,1
Male,44,Caucasian,0,0,0,0,M,1,1
Male,28,Caucasian,0,0,0,3,M,1,1
Female,42,Caucasian,0,0,0,0,F,0,1
Male,48,African-American,0,0,0,5,F,0,140
Male,24,Other,0,1,0,9,F,1,5
Male,27,African-American,0,0,0,0,F,0,17
Male,20,African-American,0,0,0,0,F,1,1
Male,24,African-American,0,0,0,1,F,0,3
Male,31,Caucasian,2,0,0,6,F,0,163
Male,22,African-American,0,1,0,2,F,0,1
Female,51,Caucasian,0,0,0,0,M,0,1
Male,56,Caucasian,0,0,0,0,M,0,1
Male,20,Caucasian,0,0,0,0,M,0,1
Male,54,African-American,0,0,0,1,F,0,5
Male,29,African-American,0,0,0,7,F,0,1
Male,42,Caucasian,0,0,0,0,F,0,1
Male,20,African-American,0,0,0,0,F,1,210
Male,53,Caucasian,0,0,0,6,F,0,174
Male,48,African-American,0,0,0,8,M,0,33
Male,24,Other,0,0,0,0,F,0,1
Male,27,Caucasian,0,0,0,8,F,0,68
Male,24,African-American,0,1,0,2,F,1,19
Female,22,African-American,0,0,0,0,F,0,1
Male,53,Caucasian,0,0,0,36,F,1,33
Male,36,Caucasian,0,0,0,0,M,0,0
Male,28,Caucasian,0,0,0,2,M,1,1
Male,46,Hispanic,0,0,0,1,F,0,0
Male,21,Other,0,0,0,0,F,0,1
Male,21,Hispanic,0,1,0,3,F,1,22
Female,36,African-American,0,0,0,0,F,0,12
Female,25,Caucasian,0,0,0,2,M,1,1
Female,23,Hispanic,0,0,0,1,M,1,0
Male,54,Hispanic,0,0,0,2,F,0,33
Male,28,Caucasian,0,0,0,1,F,0,1
Female,21,African-American,0,0,0,0,F,1,1
Male,36,Caucasian,0,0,0,0,M,0,1
Male,24,African-American,0,0,0,0,F,0,1
Male,28,African-American,0,0,0,3,F,1,32
Male,30,Other,0,0,0,1,F,1,1
Male,29,African-American,0,0,0,0,F,0,1
Male,22,African-American,0,0,0,2,F,0,48
Male,31,African-American,0,0,0,8,F,0,0
Female,30,Caucasian,0,0,0,0,M,0,4
Male,51,Hispanic,0,0,0,1,M,0,1
Male,33,Other,0,0,0,3,F,0,3
Female,25,African-American,0,0,0,2,F,0,2
Male,37,African-American,0,0,0,4,M,0,1
Male,32,African-American,0,1,0,12,F,1,2
Male,23,African-American,0,0,1,1,F,0,1
Male,47,African-American,0,0,0,3,F,0,0
Female,32,Hispanic,0,0,0,1,F,1,2
Male,37,Caucasian,0,0,0,0,F,0,19
Male,19,African-American,0,2,0,2,F,1,1
Male,27,Hispanic,0,0,0,0,M,0,2
Male,39,Other,0,0,0,0,M,0,1
Female,21,Caucasian,0,0,2,0,F,0,0
Male,69,Caucasian,0,0,0,0,M,0,1
Male,36,Caucasian,0,0,0,3,F,0,7
Male,21,Caucasian,0,0,0,2,F,0,2
Male,26,African-American,0,0,1,6,M,1,4
Male,22,Caucasian,0,0,0,0,F,0,0
Female,23,African-American,0,0,0,0,F,1,1
Male,20,African-American,1,0,0,1,F,0,25
Male,28,Caucasian,0,0,0,0,F,0,1
Male,45,Caucasian,0,0,0,0,M,0,1
Male,49,African-American,0,0,0,3,F,0,4
Male,29,African-American,0,0,1,2,M,1,51
Female,60,Caucasian,0,0,0,0,M,0,1
Male,23,African-American,2,0,0,3,F,1,0
Male,34,Hispanic,0,0,0,2,M,1,208
Male,30,Caucasian,0,0,0,0,M,0,3
Female,20,Other,1,0,0,1,F,0,3
Male,36,Hispanic,0,0,0,1,F,0,95
Male,30,Caucasian,0,0,0,0,F,0,2
Male,21,African-American,0,1,0,1,F,1,0
Male,34,African-American,1,0,0,11,M,0,4
Male,25,Hispanic,0,0,0,1,F,0,3
Male,25,African-American,0,0,0,7,F,0,1
Male,22,Caucasian,0,0,0,2,M,1,1
Male,29,Caucasian,0,0,0,2,M,0,1
Male,36,African-American,0,0,0,1,F,0,6
Male,29,African-American,0,1,0,7,M,0,1
Male,21,African-American,0,0,0,4,F,1,220
Male,21,African-American,0,0,0,0,F,1,12
Male,33,Caucasian,0,0,0,3,F,0,1
Male,34,Caucasian,0,0,0,1,M,0,0
Male,27,Caucasian,0,0,0,0,M,0,1
Female,50,Caucasian,0,0,0,1,M,1,1
Male,26,African-American,0,0,0,1,F,0,2
Male,40,Caucasian,0,0,0,0,F,1,8
Male,25,African-American,0,0,0,7,F,1,127
Female,53,Caucasian,0,0,0,1,M,0,1
Female,24,African-American,0,0,0,0,F,0,1
Male,39,Caucasian,0,0,0,2,M,0,1
Male,42,African-American,0,0,0,1,F,0,4
Male,28,African-American,0,0,0,1,M,0,2
Male,24,Caucasian,0,0,0,1,M,0,36
Female,23,Hispanic,0,0,0,0,M,0,1
Male,26,African-American,1,1,0,6,F,1,1
Male,42,African-American,0,0,0,3,M,0,88
Male,22,Caucasian,0,0,1,1,M,0,0
Male,22,African-American,0,0,0,4,F,1,260
Male,21,Caucasian,0,0,0,3,M,0,6
Male,37,African-American,0,0,0,23,F,1,17
Male,44,Caucasian,0,0,0,0,M,0,3
Male,64,Caucasian,0,0,0,13,F,0,106
Male,35,African-American,0,0,0,2,F,0,5
Male,36,African-American,0,0,0,8,F,0,484
Male,53,African-American,0,0,0,2,F,0,1
Male,29,African-American,0,0,0,7,F,1,1
Male,48,Caucasian,1,0,0,23,F,1,361
Male,23,African-American,0,0,0,0,F,0,1
Male,48,Hispanic,0,0,0,8,F,0,175
Female,52,Caucasian,0,0,0,0,M,0,0
Male,44,African-American,0,0,0,7,M,0,1
Male,28,Asian,0,0,0,1,F,0,77
Male,27,African-American,0,0,0,12,F,1,32
Male,28,African-American,0,0,0,5,F,1,51
Male,33,Caucasian,0,0,0,3,M,0,0
Female,28,Hispanic,0,0,0,0,F,0,2
Male,47,Caucasian,0,0,0,5,F,1,291
Male,36,African-American,0,0,0,14,F,1,1
Male,29,African-American,1,0,0,2,F,0,2
Male,22,African-American,0,0,1,0,M,1,21
Male,26,African-American,0,0,2,6,F,0,0
Male,40,Caucasian,0,0,0,0,M,0,0
Male,65,Caucasian,0,0,0,0,M,0,3
Male,25,Caucasian,0,0,0,0,F,0,0
Male,68,Caucasian,0,0,0,2,F,0,1
Female,32,Caucasian,0,0,0,1,F,0,2
Male,56,African-American,0,0,0,5,F,0,12
Male,27,African-American,0,0,0,9,F,1,52
Male,52,Caucasian,0,0,0,4,F,1,7
Female,31,African-American,0,0,0,0,F,0,2
Male,32,African-American,0,0,0,3,F,0,1
Male,60,Other,0,0,0,4,F,0,1
Male,35,African-American,0,6,3,29,F,0,0
Male,31,African-American,0,0,0,4,F,0,171
Male,23,Hispanic,0,0,0,1,M,0,5
Female,39,Caucasian,0,0,0,0,M,0,1
Male,56,Caucasian,0,0,0,0,M,0,1
Female,22,African-American,0,0,0,0,F,0,0
Female,27,African-American,0,0,0,1,F,1,1
Female,47,Caucasian,0,0,0,1,F,0,1
Male,53,African-American,0,0,0,11,F,0,110
Male,25,Caucasian,0,0,0,0,M,1,0
Male,21,Hispanic,0,0,0,0,M,0,0
Male,22,Caucasian,0,0,0,0,F,0,2
Female,43,Hispanic,0,0,0,0,M,0,1
Female,59,Caucasian,0,0,0,0,F,0,1
Female,58,Caucasian,0,0,0,2,M,0,1
Male,53,African-American,0,0,0,4,F,0,0
